File,WaveData20240328_004.csv,
1524.490100,2.8810E-006,1524.490100,1.6320E-005,1524.490100,6.8610E-008,1524.490100,4.4800E-008,1524.490100,4.4800E-008
1524.541000,2.9280E-006,1524.541000,1.6450E-005,1524.541000,7.0670E-008,1524.541000,4.3550E-008,1524.541000,4.3550E-008
1524.591900,2.9110E-006,1524.591900,1.6520E-005,1524.591900,7.2650E-008,1524.591900,3.4630E-008,1524.591900,3.4630E-008
1524.642800,2.9630E-006,1524.642800,1.6590E-005,1524.642800,7.1710E-008,1524.642800,3.5980E-008,1524.642800,3.5980E-008
1524.693700,2.8860E-006,1524.693700,1.6670E-005,1524.693700,7.2820E-008,1524.693700,4.9350E-008,1524.693700,4.9350E-008
1524.744600,2.8920E-006,1524.744600,1.6790E-005,1524.744600,7.0000E-008,1524.744600,3.2470E-008,1524.744600,3.2470E-008
1524.795500,2.8360E-006,1524.795500,1.6920E-005,1524.795500,6.9060E-008,1524.795500,4.9650E-008,1524.795500,4.9650E-008
1524.846400,2.8170E-006,1524.846400,1.6990E-005,1524.846400,6.5070E-008,1524.846400,3.3210E-008,1524.846400,3.3210E-008
1524.897300,2.5100E-006,1524.897300,1.7150E-005,1524.897300,6.2920E-008,1524.897300,3.0130E-008,1524.897300,3.0130E-008
1524.948200,1.8420E-006,1524.948200,1.7230E-005,1524.948200,4.8350E-008,1524.948200,3.0060E-008,1524.948200,3.0060E-008
1524.999100,1.1800E-006,1524.999100,1.7350E-005,1524.999100,2.7890E-008,1524.999100,2.1840E-008,1524.999100,2.1840E-008
1525.050000,5.3300E-007,1525.050000,1.7440E-005,1525.050000,1.1890E-008,1525.050000,1.5550E-008,1525.050000,1.5550E-008
1525.100900,2.1970E-007,1525.100900,1.7620E-005,1525.100900,8.5140E-009,1525.100900,4.4910E-008,1525.100900,4.4910E-008
1525.151800,1.2390E-007,1525.151800,1.7780E-005,1525.151800,2.9510E-009,1525.151800,6.5580E-009,1525.151800,6.5580E-009
1525.202700,9.3980E-008,1525.202700,1.7850E-005,1525.202700,4.7480E-009,1525.202700,1.5670E-008,1525.202700,1.5670E-008
1525.253600,5.2500E-008,1525.253600,1.7990E-005,1525.253600,2.1280E-009,1525.253600,8.5610E-009,1525.253600,8.5610E-009
1525.304500,7.9400E-008,1525.304500,1.8140E-005,1525.304500,1.1730E-009,1525.304500,-5.1570E-009,1525.304500,-5.1570E-009
1525.355400,7.2000E-008,1525.355400,1.8250E-005,1525.355400,2.0620E-009,1525.355400,1.2990E-009,1525.355400,1.2990E-009
1525.406300,4.6540E-008,1525.406300,1.8400E-005,1525.406300,1.0390E-009,1525.406300,1.5100E-008,1525.406300,1.5100E-008
1525.457200,7.9420E-008,1525.457200,1.8580E-005,1525.457200,1.4120E-008,1525.457200,3.6890E-009,1525.457200,3.6890E-009
1525.508100,6.8060E-008,1525.508100,1.8690E-005,1525.508100,1.4120E-009,1525.508100,1.7620E-008,1525.508100,1.7620E-008
1525.559000,7.3720E-008,1525.559000,1.8840E-005,1525.559000,6.7870E-009,1525.559000,2.0230E-008,1525.559000,2.0230E-008
1525.609900,7.9390E-008,1525.609900,1.9030E-005,1525.609900,4.5490E-009,1525.609900,1.6190E-008,1525.609900,1.6190E-008
1525.660800,6.2070E-008,1525.660800,1.9190E-005,1525.660800,1.8140E-009,1525.660800,3.9950E-009,1525.660800,3.9950E-009
1525.711700,5.9890E-008,1525.711700,1.9350E-005,1525.711700,9.6850E-009,1525.711700,1.4090E-008,1525.711700,1.4090E-008
1525.762600,7.5530E-008,1525.762600,1.9460E-005,1525.762600,3.6470E-009,1525.762600,4.1350E-008,1525.762600,4.1350E-008
1525.813500,3.5230E-008,1525.813500,1.9620E-005,1525.813500,2.7440E-009,1525.813500,1.7570E-008,1525.813500,1.7570E-008
1525.864400,6.7320E-008,1525.864400,1.9810E-005,1525.864400,2.9050E-009,1525.864400,-6.4740E-009,1525.864400,-6.4740E-009
1525.915300,8.0830E-008,1525.915300,2.0010E-005,1525.915300,4.7620E-009,1525.915300,-3.8710E-009,1525.915300,-3.8710E-009
1525.966200,8.4230E-008,1525.966200,2.0170E-005,1525.966200,6.9620E-009,1525.966200,1.2980E-008,1525.966200,1.2980E-008
1526.017100,7.8590E-008,1526.017100,2.0330E-005,1526.017100,4.4310E-009,1526.017100,-1.9010E-009,1526.017100,-1.9010E-009
1526.068000,1.0460E-007,1526.068000,2.0530E-005,1526.068000,1.1760E-009,1526.068000,2.4050E-008,1526.068000,2.4050E-008
1526.118900,8.8840E-008,1526.118900,2.0710E-005,1526.118900,3.3350E-009,1526.118900,1.4990E-008,1526.118900,1.4990E-008
1526.169800,7.9500E-008,1526.169800,2.0930E-005,1526.169800,7.7710E-009,1526.169800,1.3670E-008,1526.169800,1.3670E-008
1526.220700,8.8690E-008,1526.220700,2.1100E-005,1526.220700,5.6200E-009,1526.220700,-6.5760E-009,1526.220700,-6.5760E-009
1526.271600,8.0460E-008,1526.271600,2.1290E-005,1526.271600,2.0740E-009,1526.271600,3.4070E-009,1526.271600,3.4070E-009
1526.322500,8.8080E-008,1526.322500,2.1510E-005,1526.322500,6.1630E-009,1526.322500,5.7730E-009,1526.322500,5.7730E-009
1526.373400,8.8050E-008,1526.373400,2.1680E-005,1526.373400,2.5550E-009,1526.373400,-8.4530E-009,1526.373400,-8.4530E-009
1526.424300,6.0490E-008,1526.424300,2.1920E-005,1526.424300,3.6950E-009,1526.424300,1.0760E-008,1526.424300,1.0760E-008
1526.475200,9.7150E-008,1526.475200,2.2120E-005,1526.475200,4.0560E-009,1526.475200,1.0610E-008,1526.475200,1.0610E-008
1526.526100,6.3920E-008,1526.526100,2.2370E-005,1526.526100,2.9630E-009,1526.526100,-9.9720E-009,1526.526100,-9.9720E-009
1526.577000,7.3980E-008,1526.577000,2.2550E-005,1526.577000,2.7810E-009,1526.577000,2.9130E-008,1526.577000,2.9130E-008
1526.627900,7.3780E-008,1526.627900,2.2760E-005,1526.627900,3.2850E-009,1526.627900,6.3390E-010,1526.627900,6.3390E-010
1526.678800,8.2340E-008,1526.678800,2.3030E-005,1526.678800,2.0020E-009,1526.678800,5.9770E-009,1526.678800,5.9770E-009
1526.729700,6.7290E-008,1526.729700,2.3240E-005,1526.729700,2.5440E-009,1526.729700,1.4810E-008,1526.729700,1.4810E-008
1526.780600,6.5410E-008,1526.780600,2.3480E-005,1526.780600,8.7690E-009,1526.780600,-7.0860E-009,1526.780600,-7.0860E-009
1526.831500,7.3660E-008,1526.831500,2.3750E-005,1526.831500,2.3810E-009,1526.831500,2.8060E-008,1526.831500,2.8060E-008
1526.882400,7.3860E-008,1526.882400,2.3990E-005,1526.882400,2.0330E-009,1526.882400,2.5040E-008,1526.882400,2.5040E-008
1526.933300,4.7690E-008,1526.933300,2.4250E-005,1526.933300,4.9550E-009,1526.933300,3.9210E-008,1526.933300,3.9210E-008
1526.984200,6.9210E-008,1526.984200,2.4470E-005,1526.984200,1.9060E-009,1526.984200,-2.1160E-008,1526.984200,-2.1160E-008
1527.035100,7.9560E-008,1527.035100,2.4710E-005,1527.035100,-2.7870E-009,1527.035100,7.9120E-009,1527.035100,7.9120E-009
1527.086000,5.6230E-008,1527.086000,2.4970E-005,1527.086000,4.5380E-009,1527.086000,3.2570E-008,1527.086000,3.2570E-008
1527.136900,7.7040E-008,1527.136900,2.5220E-005,1527.136900,4.2730E-009,1527.136900,3.8190E-008,1527.136900,3.8190E-008
1527.187800,6.9160E-008,1527.187800,2.5430E-005,1527.187800,3.7240E-009,1527.187800,-3.3920E-009,1527.187800,-3.3920E-009
1527.238700,7.2200E-008,1527.238700,2.5760E-005,1527.238700,4.6550E-010,1527.238700,1.8310E-008,1527.238700,1.8310E-008
1527.289600,8.3480E-008,1527.289600,2.6050E-005,1527.289600,5.8080E-009,1527.289600,7.4860E-009,1527.289600,7.4860E-009
1527.340500,9.3360E-008,1527.340500,2.6300E-005,1527.340500,4.9870E-009,1527.340500,9.5790E-009,1527.340500,9.5790E-009
1527.391400,9.0560E-008,1527.391400,2.6590E-005,1527.391400,4.4570E-009,1527.391400,3.9460E-009,1527.391400,3.9460E-009
1527.442300,9.6410E-008,1527.442300,2.6850E-005,1527.442300,1.9130E-009,1527.442300,1.4280E-008,1527.442300,1.4280E-008
1527.493200,9.3280E-008,1527.493200,2.7130E-005,1527.493200,2.5210E-009,1527.493200,1.2250E-008,1527.493200,1.2250E-008
1527.544100,7.6400E-008,1527.544100,2.7430E-005,1527.544100,-5.0660E-009,1527.544100,6.2640E-009,1527.544100,6.2640E-009
1527.595000,9.1520E-008,1527.595000,2.7680E-005,1527.595000,6.4450E-009,1527.595000,5.7100E-009,1527.595000,5.7100E-009
1527.645900,7.2520E-008,1527.645900,2.8090E-005,1527.645900,2.0590E-009,1527.645900,2.0270E-008,1527.645900,2.0270E-008
1527.696800,6.2480E-008,1527.696800,2.8340E-005,1527.696800,7.1210E-009,1527.696800,1.2890E-008,1527.696800,1.2890E-008
1527.747700,6.5430E-008,1527.747700,2.8660E-005,1527.747700,2.9660E-009,1527.747700,2.7020E-009,1527.747700,2.7020E-009
1527.798600,6.2690E-008,1527.798600,2.8960E-005,1527.798600,1.2670E-008,1527.798600,6.7060E-009,1527.798600,6.7060E-009
1527.849500,6.2790E-008,1527.849500,2.9260E-005,1527.849500,5.7690E-009,1527.849500,-3.2560E-009,1527.849500,-3.2560E-009
1527.900400,6.9270E-008,1527.900400,2.9610E-005,1527.900400,5.9470E-009,1527.900400,2.7050E-008,1527.900400,2.7050E-008
1527.951300,7.1280E-008,1527.951300,2.9910E-005,1527.951300,5.3890E-009,1527.951300,1.0770E-008,1527.951300,1.0770E-008
1528.002200,7.7090E-008,1528.002200,3.0200E-005,1528.002200,1.0580E-008,1528.002200,-9.8290E-010,1528.002200,-9.8290E-010
1528.053100,8.5410E-008,1528.053100,3.0550E-005,1528.053100,5.6850E-009,1528.053100,1.6210E-008,1528.053100,1.6210E-008
1528.104000,9.6150E-008,1528.104000,3.0870E-005,1528.104000,4.8360E-009,1528.104000,5.2650E-009,1528.104000,5.2650E-009
1528.154900,9.6360E-008,1528.154900,3.1200E-005,1528.154900,5.3680E-009,1528.154900,6.5870E-009,1528.154900,6.5870E-009
1528.205800,9.1230E-008,1528.205800,3.1540E-005,1528.205800,8.2580E-009,1528.205800,1.5400E-008,1528.205800,1.5400E-008
1528.256700,8.5690E-008,1528.256700,3.1910E-005,1528.256700,-1.2570E-009,1528.256700,1.9420E-009,1528.256700,1.9420E-009
1528.307600,1.1250E-007,1528.307600,3.2170E-005,1528.307600,1.3220E-008,1528.307600,4.9710E-009,1528.307600,4.9710E-009
1528.358500,1.0860E-007,1528.358500,3.2680E-005,1528.358500,6.7690E-009,1528.358500,6.7170E-009,1528.358500,6.7170E-009
1528.409400,1.3090E-007,1528.409400,3.3010E-005,1528.409400,7.1800E-009,1528.409400,7.5650E-009,1528.409400,7.5650E-009
1528.460300,1.5620E-007,1528.460300,3.3390E-005,1528.460300,7.4860E-009,1528.460300,-1.4470E-009,1528.460300,-1.4470E-009
1528.511200,1.4330E-007,1528.511200,3.3760E-005,1528.511200,1.0800E-008,1528.511200,3.1890E-009,1528.511200,3.1890E-009
1528.562100,1.3630E-007,1528.562100,3.4100E-005,1528.562100,9.7890E-009,1528.562100,1.6060E-008,1528.562100,1.6060E-008
1528.613000,1.5540E-007,1528.613000,3.4460E-005,1528.613000,7.2040E-009,1528.613000,1.7340E-008,1528.613000,1.7340E-008
1528.663900,1.4830E-007,1528.663900,3.4840E-005,1528.663900,9.4160E-009,1528.663900,1.6510E-009,1528.663900,1.6510E-009
1528.714800,1.6710E-007,1528.714800,3.5290E-005,1528.714800,4.5900E-009,1528.714800,2.4160E-008,1528.714800,2.4160E-008
1528.765700,1.2270E-007,1528.765700,3.5640E-005,1528.765700,7.1300E-009,1528.765700,-4.9750E-010,1528.765700,-4.9750E-010
1528.816600,1.9020E-007,1528.816600,3.6060E-005,1528.816600,5.3060E-009,1528.816600,7.7130E-009,1528.816600,7.7130E-009
1528.867500,1.4460E-007,1528.867500,3.6450E-005,1528.867500,1.4640E-008,1528.867500,1.2780E-008,1528.867500,1.2780E-008
1528.918400,1.5180E-007,1528.918400,3.6830E-005,1528.918400,8.3710E-010,1528.918400,1.5230E-008,1528.918400,1.5230E-008
1528.969300,1.8520E-007,1528.969300,3.7200E-005,1528.969300,8.6410E-009,1528.969300,2.1680E-008,1528.969300,2.1680E-008
1529.020200,1.9900E-007,1529.020200,3.7580E-005,1529.020200,1.3600E-008,1529.020200,1.2540E-008,1529.020200,1.2540E-008
1529.071100,1.9240E-007,1529.071100,3.8020E-005,1529.071100,1.2160E-008,1529.071100,1.7200E-008,1529.071100,1.7200E-008
1529.122000,2.7460E-007,1529.122000,3.8450E-005,1529.122000,1.4640E-008,1529.122000,2.1580E-008,1529.122000,2.1580E-008
1529.172900,4.5180E-007,1529.172900,3.8840E-005,1529.172900,2.2360E-008,1529.172900,1.3990E-008,1529.172900,1.3990E-008
1529.223800,1.0030E-006,1529.223800,3.9250E-005,1529.223800,4.6620E-008,1529.223800,3.0440E-008,1529.223800,3.0440E-008
1529.274700,2.2560E-006,1529.274700,3.9670E-005,1529.274700,1.0420E-007,1529.274700,2.7200E-008,1529.274700,2.7200E-008
1529.325600,3.6030E-006,1529.325600,4.0100E-005,1529.325600,1.6590E-007,1529.325600,7.1600E-008,1529.325600,7.1600E-008
1529.376500,4.6150E-006,1529.376500,4.0540E-005,1529.376500,2.1290E-007,1529.376500,8.0590E-008,1529.376500,8.0590E-008
1529.427400,5.2940E-006,1529.427400,4.0980E-005,1529.427400,2.4600E-007,1529.427400,1.1040E-007,1529.427400,1.1040E-007
1529.478300,5.7140E-006,1529.478300,4.1360E-005,1529.478300,2.5530E-007,1529.478300,1.1910E-007,1529.478300,1.1910E-007
1529.529200,5.9100E-006,1529.529200,4.1790E-005,1529.529200,2.8160E-007,1529.529200,1.3020E-007,1529.529200,1.3020E-007
1529.580100,6.0780E-006,1529.580100,4.2250E-005,1529.580100,2.7630E-007,1529.580100,1.3230E-007,1529.580100,1.3230E-007
1529.631000,6.1140E-006,1529.631000,4.2660E-005,1529.631000,2.7600E-007,1529.631000,1.4390E-007,1529.631000,1.4390E-007
1529.681900,6.1450E-006,1529.681900,4.3150E-005,1529.681900,2.8390E-007,1529.681900,1.4660E-007,1529.681900,1.4660E-007
1529.732800,6.1610E-006,1529.732800,4.3560E-005,1529.732800,2.7660E-007,1529.732800,1.5150E-007,1529.732800,1.5150E-007
1529.783700,6.1820E-006,1529.783700,4.4030E-005,1529.783700,2.9200E-007,1529.783700,1.4990E-007,1529.783700,1.4990E-007
1529.834600,6.1170E-006,1529.834600,4.4510E-005,1529.834600,2.8990E-007,1529.834600,1.5420E-007,1529.834600,1.5420E-007
1529.885500,6.0970E-006,1529.885500,4.4950E-005,1529.885500,2.9280E-007,1529.885500,1.5530E-007,1529.885500,1.5530E-007
1529.936400,6.1080E-006,1529.936400,4.5450E-005,1529.936400,2.8430E-007,1529.936400,1.4620E-007,1529.936400,1.4620E-007
1529.987300,6.1620E-006,1529.987300,4.5960E-005,1529.987300,2.7900E-007,1529.987300,1.5190E-007,1529.987300,1.5190E-007
1530.038200,6.0830E-006,1530.038200,4.6290E-005,1530.038200,2.8280E-007,1530.038200,1.3480E-007,1530.038200,1.3480E-007
1530.089100,5.9720E-006,1530.089100,4.6770E-005,1530.089100,2.7760E-007,1530.089100,1.3960E-007,1530.089100,1.3960E-007
1530.140000,5.7130E-006,1530.140000,4.7230E-005,1530.140000,2.7250E-007,1530.140000,1.3830E-007,1530.140000,1.3830E-007
1530.190900,5.0180E-006,1530.190900,4.7770E-005,1530.190900,2.3720E-007,1530.190900,1.2000E-007,1530.190900,1.2000E-007
1530.241800,3.8270E-006,1530.241800,4.8260E-005,1530.241800,1.8790E-007,1530.241800,1.1570E-007,1530.241800,1.1570E-007
1530.292700,2.5500E-006,1530.292700,4.8710E-005,1530.292700,1.3420E-007,1530.292700,9.2070E-008,1530.292700,9.2070E-008
1530.343600,1.5000E-006,1530.343600,4.9160E-005,1530.343600,7.8660E-008,1530.343600,5.9610E-008,1530.343600,5.9610E-008
1530.394500,1.0100E-006,1530.394500,4.9720E-005,1530.394500,4.7190E-008,1530.394500,5.7480E-008,1530.394500,5.7480E-008
1530.445400,5.8740E-007,1530.445400,5.0190E-005,1530.445400,3.0740E-008,1530.445400,3.4270E-008,1530.445400,3.4270E-008
1530.496300,3.3530E-007,1530.496300,5.0700E-005,1530.496300,1.8550E-008,1530.496300,3.4270E-008,1530.496300,3.4270E-008
1530.547200,2.2570E-007,1530.547200,5.1140E-005,1530.547200,1.2100E-008,1530.547200,-1.3480E-009,1530.547200,-1.3480E-009
1530.598100,2.3140E-007,1530.598100,5.1610E-005,1530.598100,1.3290E-008,1530.598100,1.0930E-008,1530.598100,1.0930E-008
1530.649000,1.8950E-007,1530.649000,5.2120E-005,1530.649000,1.0520E-008,1530.649000,1.5260E-008,1530.649000,1.5260E-008
1530.699900,1.5300E-007,1530.699900,5.2640E-005,1530.699900,8.2120E-009,1530.699900,2.4240E-009,1530.699900,2.4240E-009
1530.750800,1.4540E-007,1530.750800,5.3140E-005,1530.750800,1.3860E-008,1530.750800,8.0450E-009,1530.750800,8.0450E-009
1530.801700,1.9160E-007,1530.801700,5.3650E-005,1530.801700,1.2930E-008,1530.801700,1.7680E-008,1530.801700,1.7680E-008
1530.852600,1.3780E-007,1530.852600,5.4060E-005,1530.852600,1.3870E-008,1530.852600,-2.8540E-009,1530.852600,-2.8540E-009
1530.903500,1.6730E-007,1530.903500,5.4650E-005,1530.903500,2.0710E-008,1530.903500,2.8770E-008,1530.903500,2.8770E-008
1530.954400,1.9640E-007,1530.954400,5.5160E-005,1530.954400,9.5400E-009,1530.954400,1.8070E-008,1530.954400,1.8070E-008
1531.005300,1.1510E-007,1531.005300,5.5690E-005,1531.005300,1.3720E-008,1531.005300,1.0860E-008,1531.005300,1.0860E-008
1531.056200,1.6240E-007,1531.056200,5.6210E-005,1531.056200,6.7800E-009,1531.056200,1.5860E-008,1531.056200,1.5860E-008
1531.107100,1.5180E-007,1531.107100,5.6720E-005,1531.107100,8.2450E-009,1531.107100,1.4450E-008,1531.107100,1.4450E-008
1531.158000,1.2020E-007,1531.158000,5.7280E-005,1531.158000,9.6760E-009,1531.158000,9.7780E-009,1531.158000,9.7780E-009
1531.208900,1.5470E-007,1531.208900,5.7830E-005,1531.208900,1.1900E-008,1531.208900,1.6410E-008,1531.208900,1.6410E-008
1531.259800,1.3810E-007,1531.259800,5.8320E-005,1531.259800,8.4480E-009,1531.259800,1.2170E-008,1531.259800,1.2170E-008
1531.310700,1.3400E-007,1531.310700,5.8830E-005,1531.310700,9.5570E-009,1531.310700,2.1610E-008,1531.310700,2.1610E-008
1531.361600,1.4010E-007,1531.361600,5.9370E-005,1531.361600,6.4330E-009,1531.361600,5.0080E-009,1531.361600,5.0080E-009
1531.412500,1.2710E-007,1531.412500,5.9900E-005,1531.412500,9.3820E-009,1531.412500,7.7160E-009,1531.412500,7.7160E-009
1531.463400,1.5210E-007,1531.463400,6.0440E-005,1531.463400,1.0990E-008,1531.463400,1.1850E-008,1531.463400,1.1850E-008
1531.514300,1.5060E-007,1531.514300,6.0970E-005,1531.514300,1.0860E-008,1531.514300,1.1880E-008,1531.514300,1.1880E-008
1531.565200,1.1200E-007,1531.565200,6.1540E-005,1531.565200,1.1610E-008,1531.565200,2.6060E-008,1531.565200,2.6060E-008
1531.616100,1.1560E-007,1531.616100,6.2050E-005,1531.616100,1.1410E-008,1531.616100,1.2270E-008,1531.616100,1.2270E-008
1531.667000,1.1920E-007,1531.667000,6.2620E-005,1531.667000,1.1680E-008,1531.667000,2.2100E-008,1531.667000,2.2100E-008
1531.717900,1.1450E-007,1531.717900,6.3140E-005,1531.717900,1.1530E-008,1531.717900,1.5420E-008,1531.717900,1.5420E-008
1531.768800,1.0780E-007,1531.768800,6.3720E-005,1531.768800,1.4430E-008,1531.768800,-1.7560E-009,1531.768800,-1.7560E-009
1531.819700,1.1760E-007,1531.819700,6.4280E-005,1531.819700,1.0340E-008,1531.819700,1.7830E-008,1531.819700,1.7830E-008
1531.870600,1.4170E-007,1531.870600,6.4880E-005,1531.870600,7.4660E-009,1531.870600,5.6770E-009,1531.870600,5.6770E-009
1531.921500,1.2260E-007,1531.921500,6.5390E-005,1531.921500,9.9680E-009,1531.921500,1.0290E-008,1531.921500,1.0290E-008
1531.972400,9.7730E-008,1531.972400,6.5960E-005,1531.972400,8.0800E-009,1531.972400,1.1260E-008,1531.972400,1.1260E-008
1532.023300,1.0180E-007,1532.023300,6.6470E-005,1532.023300,9.8970E-009,1532.023300,3.6480E-009,1532.023300,3.6480E-009
1532.074200,9.3550E-008,1532.074200,6.7020E-005,1532.074200,9.6670E-009,1532.074200,5.8920E-010,1532.074200,5.8920E-010
1532.125100,1.1890E-007,1532.125100,6.7620E-005,1532.125100,1.0670E-008,1532.125100,2.7410E-008,1532.125100,2.7410E-008
1532.176000,1.2060E-007,1532.176000,6.8080E-005,1532.176000,7.4060E-009,1532.176000,1.6300E-008,1532.176000,1.6300E-008
1532.226900,1.1830E-007,1532.226900,6.8750E-005,1532.226900,1.1140E-008,1532.226900,1.1200E-009,1532.226900,1.1200E-009
1532.277800,1.2320E-007,1532.277800,6.9300E-005,1532.277800,6.3100E-009,1532.277800,2.3520E-008,1532.277800,2.3520E-008
1532.328700,1.1370E-007,1532.328700,6.9890E-005,1532.328700,9.7750E-009,1532.328700,1.4840E-009,1532.328700,1.4840E-009
1532.379600,1.2920E-007,1532.379600,7.0400E-005,1532.379600,1.0130E-008,1532.379600,2.5600E-008,1532.379600,2.5600E-008
1532.430500,1.1800E-007,1532.430500,7.0940E-005,1532.430500,8.7310E-009,1532.430500,1.1810E-008,1532.430500,1.1810E-008
1532.481400,1.2600E-007,1532.481400,7.1560E-005,1532.481400,1.3140E-008,1532.481400,2.7340E-008,1532.481400,2.7340E-008
1532.532300,9.0670E-008,1532.532300,7.2090E-005,1532.532300,9.3700E-009,1532.532300,-2.1780E-008,1532.532300,-2.1780E-008
1532.583200,8.7810E-008,1532.583200,7.2650E-005,1532.583200,9.3680E-009,1532.583200,1.1260E-008,1532.583200,1.1260E-008
1532.634100,1.0150E-007,1532.634100,7.3220E-005,1532.634100,7.4120E-009,1532.634100,7.2630E-009,1532.634100,7.2630E-009
1532.685000,1.0390E-007,1532.685000,7.3750E-005,1532.685000,1.2020E-008,1532.685000,1.2170E-008,1532.685000,1.2170E-008
1532.735900,1.0750E-007,1532.735900,7.4380E-005,1532.735900,6.6040E-009,1532.735900,6.1630E-009,1532.735900,6.1630E-009
1532.786800,1.0270E-007,1532.786800,7.4920E-005,1532.786800,9.6540E-009,1532.786800,1.8120E-009,1532.786800,1.8120E-009
1532.837700,7.0450E-008,1532.837700,7.5500E-005,1532.837700,9.3420E-009,1532.837700,3.1660E-008,1532.837700,3.1660E-008
1532.888600,1.1220E-007,1532.888600,7.6030E-005,1532.888600,8.6820E-009,1532.888600,1.3020E-009,1532.888600,1.3020E-009
1532.939500,1.0620E-007,1532.939500,7.6660E-005,1532.939500,1.6760E-009,1532.939500,1.3350E-008,1532.939500,1.3350E-008
1532.990400,9.6500E-008,1532.990400,7.7180E-005,1532.990400,6.9340E-009,1532.990400,-4.7590E-010,1532.990400,-4.7590E-010
1533.041300,9.9970E-008,1533.041300,7.7780E-005,1533.041300,1.0200E-008,1533.041300,2.5900E-008,1533.041300,2.5900E-008
1533.092200,1.0610E-007,1533.092200,7.8260E-005,1533.092200,9.6920E-009,1533.092200,2.5610E-008,1533.092200,2.5610E-008
1533.143100,5.8430E-008,1533.143100,7.8840E-005,1533.143100,1.0430E-008,1533.143100,2.4560E-008,1533.143100,2.4560E-008
1533.194000,7.6970E-008,1533.194000,7.9430E-005,1533.194000,5.9010E-009,1533.194000,1.7700E-008,1533.194000,1.7700E-008
1533.244900,1.1070E-007,1533.244900,8.0080E-005,1533.244900,8.8770E-009,1533.244900,2.9650E-008,1533.244900,2.9650E-008
1533.295800,1.1150E-007,1533.295800,8.0630E-005,1533.295800,1.2820E-008,1533.295800,1.9850E-008,1533.295800,1.9850E-008
1533.346700,1.0810E-007,1533.346700,8.1150E-005,1533.346700,1.0440E-008,1533.346700,1.9340E-008,1533.346700,1.9340E-008
1533.397600,9.1040E-008,1533.397600,8.1720E-005,1533.397600,7.0050E-009,1533.397600,9.3590E-009,1533.397600,9.3590E-009
1533.448500,1.3300E-007,1533.448500,8.2300E-005,1533.448500,1.4490E-008,1533.448500,1.3620E-008,1533.448500,1.3620E-008
1533.499400,1.4430E-007,1533.499400,8.2850E-005,1533.499400,1.4690E-008,1533.499400,2.5570E-008,1533.499400,2.5570E-008
1533.550300,1.5060E-007,1533.550300,8.3440E-005,1533.550300,1.4830E-008,1533.550300,1.2570E-008,1533.550300,1.2570E-008
1533.601200,1.2620E-007,1533.601200,8.3910E-005,1533.601200,1.1960E-008,1533.601200,-6.4020E-009,1533.601200,-6.4020E-009
1533.652100,1.6610E-007,1533.652100,8.4500E-005,1533.652100,1.5460E-008,1533.652100,2.1600E-008,1533.652100,2.1600E-008
1533.703000,1.6060E-007,1533.703000,8.5120E-005,1533.703000,1.3500E-008,1533.703000,2.1130E-008,1533.703000,2.1130E-008
1533.753900,2.2840E-007,1533.753900,8.5740E-005,1533.753900,1.1920E-008,1533.753900,2.0020E-008,1533.753900,2.0020E-008
1533.804800,1.9460E-007,1533.804800,8.6220E-005,1533.804800,1.8180E-008,1533.804800,1.2570E-008,1533.804800,1.2570E-008
1533.855700,2.1170E-007,1533.855700,8.6820E-005,1533.855700,1.4620E-008,1533.855700,9.9150E-009,1533.855700,9.9150E-009
1533.906600,3.3700E-007,1533.906600,8.7320E-005,1533.906600,2.3280E-008,1533.906600,2.9350E-008,1533.906600,2.9350E-008
1533.957500,5.5120E-007,1533.957500,8.7940E-005,1533.957500,3.7810E-008,1533.957500,3.5530E-008,1533.957500,3.5530E-008
1534.008400,9.1560E-007,1534.008400,8.8460E-005,1534.008400,6.4320E-008,1534.008400,3.6120E-008,1534.008400,3.6120E-008
1534.059300,1.6440E-006,1534.059300,8.9020E-005,1534.059300,1.1870E-007,1534.059300,4.3940E-008,1534.059300,4.3940E-008
1534.110200,2.9630E-006,1534.110200,8.9580E-005,1534.110200,2.0690E-007,1534.110200,7.4100E-008,1534.110200,7.4100E-008
1534.161100,4.7900E-006,1534.161100,9.0120E-005,1534.161100,3.2790E-007,1534.161100,1.4160E-007,1534.161100,1.4160E-007
1534.212000,6.5300E-006,1534.212000,9.0660E-005,1534.212000,4.6330E-007,1534.212000,2.2800E-007,1534.212000,2.2800E-007
1534.262900,7.9600E-006,1534.262900,9.1220E-005,1534.262900,5.7220E-007,1534.262900,2.1840E-007,1534.262900,2.1840E-007
1534.313800,8.9070E-006,1534.313800,9.1830E-005,1534.313800,6.4540E-007,1534.313800,3.1730E-007,1534.313800,3.1730E-007
1534.364700,9.5460E-006,1534.364700,9.2370E-005,1534.364700,7.0360E-007,1534.364700,3.2840E-007,1534.364700,3.2840E-007
1534.415600,9.8400E-006,1534.415600,9.2900E-005,1534.415600,7.1650E-007,1534.415600,3.1880E-007,1534.415600,3.1880E-007
1534.466500,9.9850E-006,1534.466500,9.3460E-005,1534.466500,7.3080E-007,1534.466500,3.4620E-007,1534.466500,3.4620E-007
1534.517400,1.0010E-005,1534.517400,9.4030E-005,1534.517400,7.3610E-007,1534.517400,3.2490E-007,1534.517400,3.2490E-007
1534.568300,9.9850E-006,1534.568300,9.4550E-005,1534.568300,7.4230E-007,1534.568300,3.2880E-007,1534.568300,3.2880E-007
